中信银行	433670	16
中信银行	433680	16
中信银行	442729	16
中信银行	442730	16
中信银行	620082	16
中信银行	622690	16
中信银行	622691	16
中信银行	622692	16
中信银行	622696	16
中信银行	622698	16
中信银行	622998	16
中信银行	622999	16
中信银行	433671	16
中信银行	968807	16
中信银行	968808	16
中信银行	968809	16
中信银行	621771	16
中信银行	621767	16
中信银行	621768	16
中信银行	621770	16
中信银行	621772	16
中信银行	621773	16
中国光大银行	303	16
中国光大银行	356837	16
中国光大银行	356838	16
中国光大银行	356839	16
中国光大银行	356840	16
中国光大银行	406254	16
中国光大银行	481699	16
中国光大银行	486497	16
中国光大银行	524090	16
中国光大银行	543159	16
中国光大银行	620085	16
中国光大银行	622161	16
中国光大银行	622570	16
中国光大银行	622650	16
中国光大银行	425862	16
中国光大银行	622658	16
中国光大银行	622660	16
中国光大银行	406252	16
中国光大银行	622662	16
中国光大银行	622663	16
中国光大银行	622655	16
中国光大银行	622664	16
中国光大银行	622665	16
中国光大银行	622666	16
中国光大银行	622667	16
中国光大银行	622669	16
中国光大银行	622670	16
中国光大银行	622671	16
中国光大银行	622672	16
中国光大银行	622668	16
中国光大银行	622661	16
中国光大银行	622674	16
中国光大银行	628201	16
中国光大银行	628202	16
中国光大银行	90030	16
中国光大银行	622673	16
中国光大银行	620518	16
中国光大银行	621489	16
中国光大银行	621492	16
华夏银行	622630	16
华夏银行	622631	16
华夏银行	622632	16
华夏银行	622633	16
华夏银行	999999	16
华夏银行	621222	16
中国民生银行	415599	16
中国民生银行	421393	16
中国民生银行	421865	16
中国民生银行	427571	16
中国民生银行	472067	16
中国民生银行	472068	16
中国民生银行	622615	16
中国民生银行	622616	16
中国民生银行	427570	16
中国民生银行	622618	16
中国民生银行	622620	16
中国民生银行	622622	16
中国民生银行	622617	16
中国民生银行	622619	16
中国民生银行	545392	16
中国民生银行	545393	16
中国民生银行	545431	16
中国民生银行	545447	16
中国民生银行	356859	16
中国民生银行	356857	16
中国民生银行	407405	16
中国民生银行	421869	16
中国民生银行	421870	16
中国民生银行	421871	16
中国民生银行	512466	16
中国民生银行	356856	16
中国民生银行	528948	16
中国民生银行	552288	16
中国民生银行	622600	16
中国民生银行	622601	16
中国民生银行	622602	16
中国民生银行	517636	16
中国民生银行	622621	16
中国民生银行	628258	16
中国民生银行	556610	16
中国民生银行	622603	16
中国民生银行	464580	16
中国民生银行	464581	16
中国民生银行	523952	16
中国民生银行	545217	16
中国民生银行	553161	16
中国民生银行	356858	16
中国民生银行	622623	16
中国民生银行	625912	16
中国民生银行	625913	16
中国民生银行	625911	16
广发银行	406365	16
广发银行	406366	16
广发银行	428911	16
广发银行	436768	16
广发银行	436769	16
广发银行	436770	16
广发银行	487013	16
广发银行	491032	16
广发银行	491033	16
广发银行	491034	16
广发银行	491035	16
广发银行	491036	16
广发银行	491037	16
广发银行	491038	16
广发银行	436771	16
广发银行	518364	16
广发银行	520152	16
广发银行	520382	16
广发银行	541709	16
广发银行	541710	16
